200	241	798	MIR4425	1
201	242	806	RHD	1
202	243	809	TMEM50A	1
203	245	813	LDLRAP1	1
204	246	815	MAN1C1	1
205	248	820	MTFR1L	1
206	249	835	EXTL1	1
207	250	839	PDIK1L	1
208	251	840	FAM110D	1
209	252	841	ZNF593	1
210	253	843	CNKSR1	1
211	254	844	CATSPER4	1
212	256	847	CEP85	1
213	257	849	SH3BGRL3	1
214	258	851	CD52	1
215	259	855	LIN28A	1
216	260	856	DHDDS	1
217	261	859	HMGN2	1
218	262	861	RPS6KA1	1
219	263	862	MIR1976	1
220	264	870	ARID1A	1
221	265	871	PIGV	1
222	266	873	ZDHHC18	1
223	267	874	SFN	1
224	268	878	NUDC	1
225	269	884	TRNP1	1
226	270	893	WDTC1	1
227	271	896	TMEM222	1
228	273	900	SYTL1	1
229	274	905	GPR3	1
230	275	918	FAM76A	1
231	276	921	STX12	1
232	277	926	PPP1R8	1
233	278	927	SCARNA1	1
234	279	929	THEMIS2	1
235	280	931	SMPDL3B	1
236	281	933	XKR8	1
237	283	948	SESN2	1
238	284	949	MED18	1
239	285	950	PHACTR4	1
240	286	955	SNHG3	1
241	287	954	RCC1	1
242	288	956	SNORA73A	1
243	289	957	SNORA73B	1
244	290	960	TRNAU1AP	1
245	291	968	RAB42	1
246	293	970	RNU11	1
248	294	972	GMEB1	1
249	295	974	YTHDF2	1
250	296	975	OPRD1	1
251	297	978	EPB41	1
252	298	988	PTPRU	1
253	299	1003	MATN1-AS1	1
254	301	1021	ZCCHC17	1
255	302	1024	SERINC2	1
256	303	1028	LINC01225	1
257	304	1030	LINC01226	1
258	305	1033	TINAGL1	1
259	306	1034	HCRTR1	1
260	307	1048	KHDRBS1	1
261	308	1050	TMEM39B	1
262	309	1051	MIR5585	1
263	310	1053	KPNA6	1
264	311	1055	TXLNA	1
265	312	1056	CCDC28B	1
266	313	1058	IQCC	1
267	314	1059	DCDC2B	1
268	315	1061	EIF3I	1
269	316	1063	FAM167B	1
270	317	1064	LCK	1
271	318	1067	HDAC1	1
272	319	1070	TSSK3	1
273	320	1078	ZBTB8B	1
274	321	1079	ZBTB8A	1
275	322	1082	RBBP4	1
276	323	1085	KIAA1522	1
277	324	1087	S100PBP	1
278	325	1089	HPCA	1
279	326	1098	AZIN2	1
280	327	1102	ZNF362	1
281	329	1112	ZSCAN20	1
282	330	1117	HMGB4	1
283	331	1118	CSMD2-AS1	1
284	332	1120	C1orf94	1
285	333	1125	GJB5	1
286	334	1126	GJB4	1
287	335	1129	GJB3	1
288	336	1130	GJA4	1
289	337	1138	ZMYM1	1
290	338	1142	ZMYM4	1
291	339	1150	NCDN	1
292	340	1152	TFAP2E	1
293	341	1157	AGO4	1
294	342	1158	AGO1	1
295	343	1162	AGO3	1
296	344	1165	TEKT2	1
297	345	1166	ADPRHL2	1
298	346	1169	MAP7D1	1
299	347	1171	THRAP3	1
300	348	1174	SH3D21	1
301	349	1189	MIR4255	1
302	350	1195	ZC3H12A	1
303	351	1196	MIR6732	1
304	352	1202	DNALI1	1
305	353	1206	CDCA8	1
306	354	1211	MANEAL	1
